Groups,Size
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,average
0,average
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,average
0,average
0,average
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,average
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,average
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,average
0,average
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,large
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,average
0,average
0,average
0,average
0,average
0,average
0,average
0,average
0,small
0,large
0,large
0,average
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,average
0,large
0,large
0,small
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,small
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,average
0,average
0,average
0,large
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,small
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,average
0,large
0,average
0,large
0,average
0,large
0,average
0,average
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,average
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,large
0,average
0,large
0,average
0,large
0,average
0,large
0,average
0,average
0,average
0,average
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,average
0,average
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,average
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,small
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,smallest
0,smallest
0,smallest
0,smallest
0,smallest
0,smallest
0,smallest
0,smallest
0,smallest
0,smallest
0,large
0,average
0,smallest
0,average
0,smallest
0,large
0,average
0,average
0,large
0,large
0,average
0,average
0,average
0,average
0,average
0,average
0,smallest
0,small
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,average
0,average
0,small
0,average
0,large
0,average
0,average
0,average
0,large
0,average
0,average
0,large
0,average
0,average
0,average
0,large
0,average
0,large
0,large
0,large
0,average
0,average
0,average
0,large
0,small
0,average
0,large
0,large
0,small
0,average
0,average
0,large
0,large
0,small
0,large
0,large
0,average
0,average
0,large
0,small
0,average
0,small
0,small
0,average
0,average
0,average
0,average
0,large
0,average
0,average
0,large
0,large
0,large
0,average
0,small
0,average
0,average
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,average
0,average
0,average
0,average
0,average
0,average
0,average
0,large
0,large
0,average
0,average
0,large
0,large
0,average
0,large
0,average
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,average
0,large
0,small
0,large
0,large
0,average
0,small
0,average
0,large
0,large
0,large
0,large
0,small
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,average
0,large
0,large
0,average
0,large
0,average
0,average
0,large
0,average
0,average
0,large
0,large
0,average
0,large
0,large
0,average
0,small
0,average
0,large
0,small
0,large
0,large
0,large
0,large
0,large
0,small
0,large
0,small
0,average
0,large
0,large
0,large
0,large
0,large
0,average
0,large
0,average
0,large
0,average
0,large
0,average
0,large
0,average
0,average
0,average
0,large
0,large
0,large
0,large
0,large
0,large
0,large
0,small
0,large
0,average
0,large
0,average
0,large
0,average
0,average
0,average
0,average
0,large
0,large
0,average
0,average
0,large
0,large
0,large
0,average
0,average
0,smallest
0,large
0,average
0,average
0,average
0,average
0,average
0,smallest
0,average
0,large
0,average
0,average
0,average
0,smallest
0,average
0,average
0,average
0,average
0,average
0,average
0,large
0,average
0,small
0,small
